"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Algeria","DZA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.62","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52741104491685","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.651806674356","","","","","6.62309729661897","","4.56868389179726","","","","","","8.69673904432056","8.91257995552204","9.39453697163757","9.52541801541247","9.31849837426333","9.06484009935135","",
"East Asia & Pacific","EAS","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.68620032844488","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0110395887174","12.7544259318944","12.943763330704","13.6474070892753","12.9298644637886","11.4432979150444","8.71786069425146","10.8074831090453","12.2206200820389","12.5675386947354","11.5220750422059","","","",
"Europe & Central Asia","ECS","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2335903112722","","","","14.5551016942979","14.7428451420776","15.4595169613413","15.5970372898711","14.9901745634782","13.4122900377506","13.4441530888726","16.3746841383115","17.1248459385114","16.9098278357896","18.1637877199455","18.8961894027976","18.2067903643781","16.8148466741036","15.5301161521876","13.6994550676573","13.2480545980615","12.8381177351077","13.2735347792005","13.0556826817415","11.7204129862579","11.1283754494006","10.9046786232402",
"Ecuador","ECU","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.09","3.2","3.97","5.705","5.166","3.734","3.374","2.353","3.07","3.665","3.181","2.43","2.118","2.071","2.328","2.455","3.011","2.331","2.018","2.078","","2.619","1.985","1.912","1.554",
"Egypt, Arab Rep.","EGY","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.979","3.857","2.943","8.618","9.888","9.89","11.541","8.968","8.614","6.873","4.113","4.903","6.045","4.885","4.705","4.313","",
"Euro area","EMU","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2313692583115","16.8058340544078","16.0693334184087","16.0294356335539","16.688493394791","15.4942514845279","14.5805755004521","14.3744278405854","13.1467381303893","13.5250709263269","14.0257237616614","14.7461103639287","14.9032363999447","14.3807072876849","13.0803024447459","12.9508326786549","17.2655861461585","18.7639902274239","19.4709695562183","22.0405336679861","23.1422616185529","22.1875976443086","20.7415021511159","19.3947222326653","17.7480307831683","16.1702112906448","15.0602313781148","15.1433082748956","15.1378108182202","13.5409652888987","12.9600481490156","12.4645758087843",
"Eritrea","ERI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.67","23.502","25.43","23.657","23.607","22.036","19.9","16.302","15.224","11.625","12.433","12.858","12.891","11.04","10.261","10.586","15.071","24.522","26.944","28.83","33.457","35.16","33.051","30.685","27.62","24.445","21.962","20.016","21.01","21.063","18.692","17.303","16.503",
"Estonia","EST","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.34","","16.144","15.969","20.33","25.407","20.077","23.186","20.812","19.412","14.492","12.662","10.93","11.964","27.775","30.005","25.486","22.863","14.572","12.79","12.286","12.887","10.768","10.536","9.644","13.567","14.233","12.007","12.909","14.744",
"Ethiopia","ETH","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.67","","","","","","3.971","","","","","","","","3.197","","","","","","","","4.539","","","",
"European Union","EUU","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5285967215975","15.3728022555993","15.241083025791","15.9198991763435","14.8634049684862","14.5482211289654","15.0802900592707","15.580305303041","16.1027735204719","16.2838376131149","16.723967146057","16.7177851942975","15.4030001877633","13.3000385418639","12.8484531557811","16.9075673739184","18.46127328027","19.1870308121714","21.5356565231507","22.4725242230027","21.4332715880528","19.6205768069238","18.3198182680687","16.759552894898","15.3059963962275","14.36533922749","14.6336395843037","14.9032958536097","13.4223357013429","12.9652835808497","12.7700835333431",
"Fragile and conflict affected situations","FCS","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.917","22.007","21.819","18.978","19.039","18.66","17.484","18.829","18.345","19.392","18.14","18.294","12.429","12.211","14.678","14.994","15.989","16.384","17.082","17.812","16.447","17.372","16.03","17.098","15.371","19.279","15.986","13.542","16.27","20.082",
"Fiji","FJI","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.362","","7.837","","","","2.837","","","3.63","","2.575","","","","","","","","3.623",
